text,sentiment
@chrishasboobs AHHH I HOPE YOUR OK!!! ,neg
"@misstoriblack cool , i have no tweet apps  for my razr 2",neg
"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",neg
School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,neg
upper airways problem ,neg
Going to miss Pastor's sermon on Faith... ,neg
on lunch....dj should come eat with me ,pos
@piginthepoke oh why are you feeling like that? ,neg
gahh noo!peyton needs to live!this is horrible ,neg
@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,pos
@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,pos
to sum up my day in one word ......... kackered! ,pos
@k9wkj Great minds think alike ,pos
Is Poorly and in bed! ,neg
"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",pos
"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",pos
"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",pos
@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,neg
"ugh, morning's off to a rough start ",neg
just bit my tongue ,neg
@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,neg
Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,pos
"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",pos
Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,pos
"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",neg
i don't feel good ,neg
@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,pos
This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,neg
my car is poorly ,neg
im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,pos
No woooooork tomorrrow&amp;tuesday ,pos
Flatmates are still in the bathroom! ARGGH!! ,neg
I'm having an allergic reaction to silver earings ,neg
"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",neg
"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",neg
what is with msn making me click the wrong people. garrrrr ,neg
Too full of fizz but not enough cider ,neg
How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,pos
Time to sleep... Long day again tomorrow ,neg
Hahaha blakk is reckkkin it. :p throwwwwwed. ,pos
Cubs game today! My first ever ,pos
@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,pos
@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,pos
eating cha with eric ,pos
"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",pos
My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,neg
"@Konstantine I said &quot;scar,&quot; sweetie. ",pos
@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,neg
FCK-Brï¿½ndby 4-0! ,pos
@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,neg
@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,pos
"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",pos
@ElleChanel want to shoot...but i'm not in charlotte .. ,neg
@sephrenia1982 good work ,pos
@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,pos
@CatholicChicks hate bein on the phone that long ,neg
"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",pos
@melbgirl It means the same to us!  #GoCats,pos
"beach this morning,bbq this afternoon. Back to school/work 2morro ",neg
@joshlam and you are how old?? REALLY?!? ,pos
@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,neg
Watched Crank 2.... awesome ,pos
@TheUncoolest ,pos
Night in with the rock star...  ,pos
@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,pos
first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,pos
"my tooth is sving, and I cannot see my dentist for a week ",neg
cant sleep got heartburn really bad ,neg
Off to Whipsnade  Hope it's dry,pos
Going To Bed ...My Ankle Hurts ,neg
hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,neg
I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,neg
"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",pos
Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,pos
"i miss him, i cant wait to see him, im happy ",pos
@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,neg
"@mithss mourniiiiiiing eh, morniiing!!! ",pos
@pamelaong Glad the blog helped ,pos
Awesome pumpkin! Your famous ,pos
"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ",neg
@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,pos
"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",neg
Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,pos
"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ",pos
at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,neg
I am so hungry  I hate not eating breakfast!,neg
ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,neg
@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,pos
Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,neg
@ItsNeet 100%.. its like getting an A for all your classes.. ,pos
"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ",pos
Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,pos
i have find my someone ,pos
@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,pos
it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,pos
I'm obsessed with twitting  haha,pos
One interlock down one to go ,pos
"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ",neg
I miss Zack so much these days ,neg
@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,neg
"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",pos
my thumb hurts after breaking the nail.... ,neg
"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs",pos
"@JosephFrost Yeahh, that would be pretty awesome. ",pos
@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,pos
"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ",neg
@MandyyJirouxx that page doesn't exist ,neg
fighting a cold. ,neg
@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,neg
@aleshacal my phone is dying  no charger here!,neg
@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,pos
my tv always freezes while i'm watching inbetweeners ,neg
@softjunebreeze Ex-factor.... Me too ,neg
 Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,neg
@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,neg
tried to check out your site @poeticmindset ... not working ,neg
Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace ,pos
pimples attack! Arghhhhhhhhh ,neg
"has to pack, stillll. and doesn't want to.. ",neg
@snikkins How dare you get some before I have a chance to. You're no longer my friend ,neg
"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing ",pos
about to pour in orlando ,neg
"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net ",pos
@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow ,pos
@annieomnious    can it be fixed?  can we make a new simple one mayb?,neg
blÃ¤Ã¤ i have a headache ,neg
Has just joined Twitter.. It better be good! ,pos
Where in Singapore do they sell Dujour? ,neg
"#iranelection The &quot;yellow Press&quot; is alive and well in the 21st century, how quickly we forget the USS Maine ",neg
haven't been on all day  went to bed late last night!,neg
"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making ",pos
"@claire_stokoe thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking ",pos
ps: i think twitter sucks if you dont have free unlimited texts. ,neg
"@xDorkyStacy Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube. ",pos
@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late,pos
Who else misses Parade the day incredibly much.. ,neg
I was caller number one. ,neg
@StewartWade ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck! ,neg
"Mornin every1! Hope all is well I'm your worlds. I'm not sure why I'm at work at 7:45 this mornin, but I guess Its not all bad ",pos
should be going out but wants to stay put to participate in @RichardWiseman experiment - might have to do it by txt. (no photo part) ,neg
"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see... http://jijr.com/hitZ cheers, Lou-ann",pos
"@TeeMonster Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy",neg
History exam today and dreading it ,neg
After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc  i love you band geeks! &lt;3,neg
Just downloaded a new Twitter app for my phone. So much better already. ,pos
I seem to be making a habbit out of not falling asleep until very late ,neg
There was a steady stream at my polling station mostly old folks surely they wouldn't vote for the fascists ... Are people that stupid? ,neg
Missionaries had passport problems. Still havn't arrived  ya'll pray!,neg
had a very good night ,pos
"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb",pos
Off to the Miss Bikini Philippines pageant. Thanks to @veggiecircle for the ticket! ,pos
i'm going global .. ,pos
They are gone .. ,neg
Friends with scott again ,pos
I think that my lovely brother @ScottyHolloway should take me and his lovely sister @Ho11y to Old Town for some dinn dinn &amp; margaritas ,pos
Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today ,pos
Wooo I picked my sister and I miss the empty house. ,neg
@aleahhh season is almost done with babe ,neg
off to work    byeee xox,neg
@alexandramusic Diversity won! damnn i wanted flawless to win ,neg
printin stuff for my aunt. dont ask y its so late. i forgot 2 do it earlier. ,neg
 can some one pleease tell me how to work out the total surface area of a square pyramid? ,neg
@DENISE_RICHARDS love your hair  dont ever cut ur locks ,pos
@okse *Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!! ,pos
@Dee_Dee_3 high low ,pos
"And the motivation came!  yay! Not finished yet, but well on my way!  Gonna go finish it. xx",pos
Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin ,neg
"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not ",neg
On schedule now to soft launch tomorrow evening - already have first customer - lost cat ,pos
&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot; ,pos
@CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old ,pos
"Ugh, so bored today! ",neg
home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em? ,pos
Still at work  This entire week has felt like an extremely long and awful Monday!,neg
Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless ,neg
morning twitterland...off to work i go ,neg
@Debbiebarnhill I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it ,neg
Trying to learn some &quot;PHOTOGRAPHY&quot; ,pos
@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!,pos
already miss baby donkey ,neg
@kpsomotragos I have it on good authority that we'll be getting it around 3am. ,neg
Just heard gun shots in my neighborhood!!! ,neg
Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along ,neg
I am sooo tired!! My eyes literally can't stay open ,neg
I hate word challenge on facebook! ,neg
is sad she couldn't go out with her girls tonight  It's been too long....,neg
PACKING SUCKS! i miss my Lee ,neg
O how i love you sammoons  o how i do. ,pos
"Wants a free doughnut, Krispy Kremes are so expensive, but 10 million times better than other doughnuts. ",neg
new phone  tattoo on monday! Woo.. just had tea. yummy.,pos
waiting for my hoe to come back ,neg
"i just cried a lot  im so over that all , and i cant hear it anymore...",neg
Trying to get on facebook!!! ,neg
I want to post lol cats on here but I can't ,neg
@RobbieTaylor I have no comment about who won the game until this replay is completed. ,pos
Thank you everyone. I seriously am I lucky guy to have such great and lovely friends. Let's keep in touch  chuckishere.com at #LAX,pos
friday gimmick in the office  but always looking forward for the weekend!,neg
TALK meeting tonight at Tampa Chamber at 6pm with @WOMlinda as guest speaker on Word of Mouth Marketing! Happy Hour after @ Tinatapas ,pos
successfully obtained  visa entries to enter  and stay in the Royal Kingdom of Thailand! ,pos
Downtown Disney ,pos
missing my mom ,neg
A little sad  pretty bad news and feel too much insecure about my playing.,neg
@HuniB oOhwee naw i just been chillin tryna get use to this new work schedule of having to be at wrk @ 7... ,neg
@juzgalvez Hahaha! Don't be scared. They need fresh minds and you're it. ,pos
grandparents arrive tomorrow... good nite ,pos
that was a good chat!  keep u posted guys...,pos
@BrokenStruggle to much waffle &amp; not enough drinking going on. he's a less annoying version of numpty! &amp; he's not you which makes me ,neg
@theclimbx3 i knooow  its the pizza girl episode xD &lt;3,pos
"Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch  ",pos
lots of cool ppl  ~~&gt; @actionchick @thewildjoker @walterdoc @JGDemas @amilya @williger  #followfriday,pos
Alright this is my debute twitt  yay lol,pos
@Spitphyre girls i am outta it then  my exams,neg
Why do peep toe shoes hurt so bad ,neg
@Alyssa_Milano do celebs get more characters than the rest of us? ,pos
need to charge my mac... ,neg
Keyshia cole loves bebe too!!! ,pos
@dstarr I want my bed  x,neg
"Dang it....BRB....have to get the cake, candles and ice cream out and sing happy birthday to my niece. Sweet 16 ",pos
"@StiffValentine Olympus E-410.  Besides the recent digital lenses, I also got an old 50mm OM lens which mounts via a simple adapter.  ",pos
"is going to watch the brewer game, eat soup, play sims and sit in a vaporizer filled room. stupid cold. this sucks. ",neg
Hmmm.... My whole body feels sore! ,neg
@Venyadosae I'm sooo happy you'll get to re-take penguin pics! I collect penguin stuff and am a penguin FREAK! Can't wait to see ,pos
"My server has been going down lots lately, it makes me a sad WoW player  lol",neg
how would you feel if @taylorswift13 was in a GoBernos video? eh eh ,pos
"@timdifford cheers, I spotted that - couldn't find it on the App Store though ",neg
sore throat ,neg
He'd go anywhere with me ,pos
@LexiePixie your tarot twreading is next. ,pos
@Bowl_the_Bunny lol love how we put some in stars: *some* haha...*crosses fingers* i hope you get more ,pos
This tea taste like pure WATER!!!  Yuck!,neg
sad that it's not my birthday anymore and that my balloon is deflating ,neg
"Great to get bk online, my own net was down ",neg
St Andrews is scaring me. ,neg
Finally done work YAY ,pos
@DTatStar not nice  lol,neg
i aint alive....im just breathing to death ,neg
Sorry you missed it. Good night! ,pos
oopss did that twice  D: im such a silly moo.,neg
"@acj525 mummmmmmmmmmm,  can you put the pizza in the oven ",pos
@ibbypop haha yeeahh yeahh you know its only till 2:30 so its not too bad! ,pos
@Jagusti shit! I thought it was months away  I'm not in Sheffield this weekend ,neg
@Shadez mmm...i wouldn't mind li'l Katy's either.. ,pos
On a JEW mood. Downloading Futures. Chase the Light naman mamaya. Haha. ,pos
Wishes @kirstiealley a Happy Mother's Day! ,pos
"More rain due, ugh, going to a graduation today and was hoping the kids could go swimming ",neg
woke up early today...dont wanna go to school tomorrow... ,neg
I can't seem to fall asleep tonight ,neg
"#EU09 In 5 years we need a best coverage. World, take a look here, yes, here, Europe is moving ",pos
That should give you happy thoughts ,pos
@monzongo2009 OH NO!!!  Get well soon   I'm trying to get well myself in the midst of Merola.  Sending you virtual antibiotics ,neg
Dam texts woke me up ,neg
"I could seriously go back to sleep  working 3-11 tonight w/ mitch...but toni won't be there...it's not the same, but i hope it's fun! ilu!",neg
eatin an icecream ,pos
"@FifthSenseNYC I'll be giving the Mark Birley a wear later this week, even though I'm not a &quot;quiet man&quot;. ",pos
happy birthday to andy hurley ,pos
Hangin with my bestie suzi ,pos
" FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! &gt;;(",neg
But I will follow ,pos
I'm saying good bye to a good friend tonight... kinda sad ,neg
my last nite in work for weeks.....ah im in such good humour ,pos
"My Sonic skills have not improved... Running, fine. Spinning, awesome. Jump from platform to platform? The fail whale grabs me ",neg
"saw a red balloon flying outside my window. somewhere out there, a kid must be crying because the wind blew his balloon away... ",neg
Working today. Closing. 2 - 11. Missing out on Ming's birthday dinner/party. ,neg
@JoshBkelley just wanted to say the youngstown girls miss you  .. &amp; what happened to tell it like it is on itunes? cant find it!,neg
Ahhh...I finally don't have to keep 5 guys happy...I get waited on tonite ,pos
hope you feel better mommy  I love you :X,neg
@KandyChazer it is...but i was told i was gonna be entertained and i wasnt ,neg
yay! just realized i'm not driving this trip and can do all the twittering!  ,pos
"@amf7 Thank you for reminding me! I actually have something in mind given the date. Hint, it's Star Trek related. ",pos
We should have brought a flask with v0dka. Hahaha. ,pos
Just got pulled over on 36. I am fucking terrified of cops. My headlights out I guess  mew.,neg
gotta go check/console/convince 2 yo to stay in bed and that he actually WANTS to go to sleep... 20 min nap in car= past his sleep... ,neg
@cali_g510 ok   I got you!,pos
Changed the background on here. About to go watch 'Mary Shellys Frankenstein'.  Add: http://bit.ly/4Qhlv,pos
"@MANDY_EMMERSON I know you do, Go TEAM GB ",pos
"@sdministry Hey scott, Its Ashli from Shelby County, We met when Rick and Mick were in town. How you been? It been awhile ",pos
@temptationdice why did my family decide to have a family gathering?  i see why you hate them. -.-,neg
@kerryjor Happy Birthday!  Enjoy the cougar years - roar! ,pos
I work 9-6 today with bitch boss ,neg
  DD has pinkeye...not fun.,neg
3 little birds pitch by my door step singing sweet songs of melodies pure &amp; true sayin dis is my message 2 you: dont worry about a thing ,pos
Church of the Highlands @ 11:30 in the Bryant Conference Center! BE THERE!   ,pos
Off to london biggin hill ,pos
definitely just failed my exam ,neg
@Burlesquetron oh sorry I didn't see this tweet further down sorry. unhappy DD = 4 champers 4 me + looking 4 hair dye in back of cupboard ,pos
@laurie_pringle I mention it in the blog post. It's in Vancouver. ,pos
I am soooo happy!!! ,pos
@Itxi_Itx @th3maw  This is a great conversation.  What else might you do with your sheets during the act of love?  eh?  eh?  ,pos
mark cubans doin handsprings right now- the &quot;punks and thugs&quot; are sinking.. but he's not looking forward to paying dirk's child support. ,neg
@lovelyberries haha you can cuddle with me anytime ,pos
had a lovely birthday.  http://plurk.com/p/xedq0,pos
@judez_xo ugly kids there?  woahh where am i then. ,neg
@canadianfamily The best thing about my Mother's Day was my son. And the card my husband got me 'from' our 5.5 week old son. ,pos
Just got off the  â  Misery loves company..... Haha,pos
ugh sdre isnt coming here  lame. today can suck my dick.,neg
@andyclemmensen tv on mute cause its boring but then ipod with speakers on timer  now thats how its done.,pos
TWO More weeks and its back to work. ,neg
is healthy breakfast then back to geography revision ,neg
off to sleep. GOOD NIGHT WORLD  hope it'll not rain tomorrow.,pos
Kylie's being a bad girl today. ,neg
@LaYdeeDeliSh he's definately a strong lil guy! ,pos
I watched UP! This time I cried  It's really sad and hilarious ... That movie totally rocks!,neg
just booked my driving test ,pos
i've been working for more than 24 hours now ,neg
"@ddlovato I wish I was a celeb like you, Miley Cyrus, Selena Gomez, Taylor Swift, and all those pretty girls out there! ",pos
I can't believe the last survivor of the Titanic died...that's really sad! ,neg
Starting to wonder if my future landlord is crazy or prejudice against americans.. this may not end well ,neg
@kiniaq and the reasons are never wrong my dear... they are absolutely lovely  wow,pos
@lexia well done on all your reporting.  Haven't been vocal but have enjoyed and appreciated your work. Cheers lady. ,pos
I would love the 85mm 1.2 .. but would settle for the 85mm 1.8. I'd also love a 1Dsmark3 for it to sit on ,pos
@AngelIVXXX very good price ,pos
@MrRathbone You have many friends here who will walk with you through the dark and the light. Smile ,pos
soo hungry! hot dogs with all the fixings? sounds yummy ! ,pos
is having a bad day - email not working properly and looks like the 10km run is off for me ,neg
@officialnjonas you speak my name in chat? please?I am a big fan your...follow me? ,pos
"The Tonight Show w/ Conan was AWESOME!!! I missed that tall, pale, red-headed man! ",pos
"@Hail_Mary_Jane: never date anyone who's on twitter, then you can't tweet about how whack they are.&lt;----sooooooooo true ",pos
I need someone to talk to!  Who can that be? ,pos
@BrianMcnugget still your old joker kinda self...im glad...i kinda miss it ,neg
un vot pe blogoree pls: http://bit.ly/ueUb6   Multumesc! ,pos
"Dear baby, I can't wait until your teething days are over. ",neg
"@ninasplayground LOL, I didn't know it was on  OF COURSE if watch that dumb bitches show ;-) like a train wreck... Can't stop watching ;)",neg
@imPLastic ,pos
"BlackBerry troubles all over.. fortunately enough I don't have one! My HTC Touch works fine, for almost 2 years! ",pos
@MeganBull how do you know how much your twitter profile is worth?? haha...or was that a joke? ,pos
http://mobypicture.com/?yxykxt - I knew it from the start. It's a two year old t-shirt by now. Always makes me pleased to see though. ,pos
I had Wendy's before this. That was a bad choice   http://twitpic.com/6vlkp,neg
@cjm55 Thanks!  ,pos
"why do people not just try to understand instead of getting pissed off  when someone needs you, its cause they love you...",neg
@Castiel_ yeah. totally. ,neg
@Lumiel Aren't you sweet? ,pos
CDC Vaccine Advisor Pockets $29 Million Promoting Vaccines -  http://is.gd/M7Q8 - MORE ELITIST SCUM VACCINATION PROFITEERING - Sorry ,neg
@MissChriis i don't know how to celebrate yet. lol but i'm very excited about it. ,pos
@windsorj Poor thing  Hope you feel brighter soon x,neg
Ah. The perfect summer day was ruined by the rain. Too good to be true.  but its still hot as hell. I feel sticky and gross. Long day. Ha,neg
 i gotta work today,neg
@nowamunkie My pleasure. ,pos
Blood Brothers was Amazing.  Got my program signed by the cast  Got a Picture with Sean Jones. ,pos
bob to the top high school musical porno. ftw ,pos
@DavidArchie I'm running a fever  If you gave me a shoutout I swear I'd get better! (HINTHINT!) HAHAHA.,neg
"@edicius during this Stanley Cup match up, yes, I am a Pens fan. ",pos
"@besz I will tell you on Thursday all about Tuesday, I promise. How bout I skip all this, and just eat the monkey for breakfast? ",pos
